0000020010120150923PRACF2*G16 19045020160215000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000006018 +0000000005991 00000000000000000000000000000000000000000000000000000002200000005+00000027+0000000000000000000000000000000000000000000000970014500093    0000000000000000000000000000000000000                    ACFG16              EMERC2016021520160216+0000000005602+0000000006380
0000040010120150923PRACF2*Z15 19045020151215000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005762 +0000000005737 00000000000000000000000000000000000000000000000000000002200000004+00000025+0000000000000000000000000000000000000000000000570008300056    0000000000000000000000000000000000000                    ACFZ15              EMERC2015121520151216+0000000005365+0000000006109
0000060010120150923PRAUD2*V15 19045020151001000000000000000006000000000000000000000000000000000000000763000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150922+02858200+00000000+0000029012280S+0000028819660 00000001155720000000000000000000000000000000000000000003400000007+00192620+0000000000000000000000000000000000000000000000060000800006    0000000000000000000000000000000000001                    AUDV15              EMERC2015093020151001+0000002709049+0000003054883
0000080010120150923PRAUD2*X15 19045020151103000000000000000006000000000000000000000000000000000000000981000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150918+02845940+00000000+0000029235790S+0000029028520 00000001243620000000000000000000000000000000000000000003400000007+00207270+0000000000000000000000000000000000000000000000270004100027    0000000000000000000000000000000000002                    AUDX15              EMERC2015103020151103+0000002728681+0000003077023
0000100010120150923PRAUD2*Z15 19045020151201000000000000000006000000000000000000000000000000000000000110000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150831+02659206+00000000+0000029460590S+0000029247910 00000001276080000000000000000000000000000000000000000003400000007+00212680+0000000000000000000000000000000000000000000000470006900046    0000000000000000000000000000000000003                    AUDZ15              EMERC2015113020151201+0000002749304+0000003100278
0000120010120150923PRBGI2*F16 19045020160129000000000000000033000000000000000049849000000001209500000000000000010000000100001+0001498000000+00000000+00015106+00015106+00015106+0001510600001+0001510617050020150923+00015156+00000000+0000000015082S+0000000015106 00000000079200000000000000000000000000000000000000000002200000002-00000024-0000000000000000000000000000000000000000000000880012800084    0000000000000000000000000000000000005                    BGIF16              EMERC2016012920160201+0000000014660+0000000015504
0000140010120150923PRBGI2*K16 19045020160531000000000000000033000000000000000049170000000001193000000524000000010000000100000+0000000000006+00014950+00014900+00014900+00014900+0001490000001+0001490017050020150923+00014900+00000000+0000000014875S+0000000014900 00000000082500000000000000000000000000000000000000000002200000002-00000025-0000000000000000000000000000000000000000000001700025100166    0000000000000000000000000020160531006                    BGIK16              EMERC2016053120160601+0000000014459+0000000015291
0000160010120150923PRBGI2*U15 19045020150930000000000000000033000000000000003755885000000091131300001369000000190000007900003+0001438500014+00014429+00014472+00014380+00014490+0001440700008+0001440515590020150923+00014485+00000000+0000000014391S+0000000014472 00000000267300000000000000000000000000000000000000000002200000006-00000081-0000000000000000000000000000000000000000000000050000700005    0000000000000000000000000020150930001                    BGIU15              EMERC2015093020151001+0000000013966+0000000014978
0000180010120150923PRBGI2*V15 19045020151030000000000000000033000000000000132239071000003208595900012952000006830000271400015+0001473100005+00014750+00014844+00014711+00014858+0001476500010+0001473515590020150923+00014840+00000000+0000000014728S+0000000014844 00000000382800000000000000000000000000000000000000000002200000008-00000116-0000000000000000000000000000000000000000000000260003700026    0000000000000000000000000020151030002                    BGIV15              EMERC2015103020151103+0000000014325+0000000015363
0000200010120150923PRBGI2*V16 19045020161031000000000000000033000000000000000050417000000001223300000015000000010000000100000+0000000000015+00015600+00015278+00015278+00015278+0001527800001+0001527817220020150923+00015355+00000000+0000000015262S+0000000015278 00000000052800000000000000000000000000000000000000000002200000001-00000016-0000000000000000000000000000000000000000000002770040400273    0000000000000000000000000020161031007                    BGIV16              EMERC2016103120161101+0000000014835+0000000015689
0000220010120150923PRBGI2*X15 19045020151130000000000000000033000000000000018773544000000455513800004936000000730000037700002+0001506200001+00015099+00015150+00015050+00015150+0001509000002+0001511116120020150923+00015150+00000000+0000000015111S+0000000015150 00000000128700000000000000000000000000000000000000000002200000003-00000039-0000000000000000000000000000000000000000000000460006800045    0000000000000000000000000020151130003                    BGIX15              EMERC2015113020151201+0000000014620+0000000015680
0000240010120150923PRBGI2*Z15 19045020151230000000000000000033000000000000014686824000000356355200001069000000430000029400044+0001508000007+00015150+00015156+00015080+00015156+0001513800001+0001513216150020150923+00015156+00000000+0000000015132S+0000000015156 00000000079200000000000000000000000000000000000000000002200000002-00000024-0000000000000000000000000000000000000000000000670009800065    0000000000000000000000000020151230004                    BGIZ15              EMERC2015123020160104+0000000014709+0000000015555
0000260010120150923PRBGI4VFJM019045020160129000000001450000033000000000000000000000000000000000000000140000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150910+00000185+00000000+0000000000000 +0000000000089 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000880012800084F16 0000000000000000000000000000000000000                    BGIF16P014500       EMERC2016012920160201+0000000000000+0000000000000
0000280010120150923PRBGI4CUHIB19045020150930000000001440000033000000000000000000000000000000000000000264000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150818+00000234+00000000+0000000000000 +0000000000092 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014400       EMERC2015093020151001+0000000000000+0000000000000
0000300010120150923PRBGI4CUHIC19045020150930000000001445000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150828+00000100+00000000+0000000000000 +0000000000060 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014450       EMERC2015093020151001+0000000000000+0000000000000
0000320010120150923PRBGI4CUHID19045020150930000000001450000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150917+00000040+00000000+0000000000000 +0000000000037 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014500       EMERC2015093020151001+0000000000000+0000000000000
0000340010120150923PRBGI4CUHIG19045020150930000000001460000033000000000000000000000000000000000000000310000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150828+00000037+00000000+0000000000000 +0000000000013 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014600       EMERC2015093020151001+0000000000000+0000000000000
0000360010120150923PRBGI4CUHIH19045020150930000000001465000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150820+00000100+00000000+0000000000000 +0000000000007 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014650       EMERC2015093020151001+0000000000000+0000000000000
0000380010120150923PRBGI4CUHIJ19045020150930000000001470000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150818+00000080+00000000+0000000000000 +0000000000003 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014700       EMERC2015093020151001+0000000000000+0000000000000
0000400010120150923PRBGI4CUHIK19045020150930000000001475000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150903+00000030+00000000+0000000000000 +0000000000002 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C014750       EMERC2015093020151001+0000000000000+0000000000000
0000420010120150923PRBGI4CUHIT19045020150930000000001520000033000000000000000000000000000000000000000030000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150708+00000075+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C015200       EMERC2015093020151001+0000000000000+0000000000000
0000440010120150923PRBGI4CUHIW19045020150930000000001530000033000000000000000000000000000000000000000132000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150828+00000009+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C015300       EMERC2015093020151001+0000000000000+0000000000000
0000460010120150923PRBGI4CUHIY19045020150930000000001540000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150514+00000253+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15C015400       EMERC2015093020151001+0000000000000+0000000000000
0000480010120150923PRBGI4VUHMB19045020150930000000001440000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150828+00000052+00000000+0000000000000 +0000000000020 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P014400       EMERC2015093020151001+0000000000000+0000000000000
0000500010120150923PRBGI4VUHMJ19045020150930000000001470000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150819+00000230+00000000+0000000000000 +0000000000231 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P014700       EMERC2015093020151001+0000000000000+0000000000000
0000520010120150923PRBGI4VUHMT19045020150930000000001520000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150514+00000337+00000000+0000000000000 +0000000000726 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P015200       EMERC2015093020151001+0000000000000+0000000000000
0000540010120150923PRBGI4VUHM619045020150930000000001420000033000000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150916+00000010+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P014200       EMERC2015093020151001+0000000000000+0000000000000
0000560010120150923PRBGI4VUHM819045020150930000000001430000033000000000000000000000000000000000000000087000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150818+00000036+00000000+0000000000000 +0000000000004 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P014300       EMERC2015093020151001+0000000000000+0000000000000
0000580010120150923PRBGI4VUHM919045020150930000000001435000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150903+00000010+00000000+0000000000000 +0000000000010 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P014350       EMERC2015093020151001+0000000000000+0000000000000
0000600010120150923PRBGI4VUHNC19045020150930000000001390000033000000000000000000000000000000000000000020000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150707+00000100+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P013900       EMERC2015093020151001+0000000000000+0000000000000
0000620010120150923PRBGI4VUHNJ19045020150930000000001340000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020150722+00000042+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005U15 0000000000000000000000000000000000000                    BGIU15P013400       EMERC2015093020151001+0000000000000+0000000000000
0000640010120150923PRBGI4CVHIK19045020151030000000001370000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020141015+00000650+00000000+0000000000000 +0000000001128 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000260003700026V15 0000000000000000000000000000000000000                    BGIV15C013700       EMERC2015103020151103+0000000000000+0000000000000
